date;cash;card;ticket_resto;uber;total
26/02/2024;157.0;273.0;1.0;22.0;453
27/02/2024;150.0;296.0;1.0;33.0;480
28/02/2024;136.0;275.0;15.0;24.0;450
29/02/2024;161.0;364.0;0.0;35.0;560
01/03/2024;198.0;423.0;0.0;37.0;658
02/03/2024;204.0;317.0;11.0;22.0;554
03/03/2024;181.0;323.0;14.0;23.0;541
04/03/2024;132.0;228.0;3.0;18.0;381
05/03/2024;205.0;353.0;15.0;27.0;600
06/03/2024;224.0;402.0;8.0;45.0;679
07/03/2024;148.0;279.0;13.0;30.0;470
08/03/2024;312.0;658.0;0.0;45.0;1015
09/03/2024;239.0;406.0;38.0;17.0;700
10/03/2024;218.0;401.0;8.0;23.0;650
11/03/2024;137.0;264.0;0.0;19.0;420
12/03/2024;95.0;200.0;0.0;20.0;315
13/03/2024;131.0;261.0;7.0;29.0;428
14/03/2024;106.0;205.0;8.0;18.0;337
15/03/2024;119.0;231.0;0.0;18.0;368
16/03/2024;180.0;334.0;9.0;20.0;543
17/03/2024;201.0;369.0;15.0;15.0;600
18/03/2024;128.0;235.0;0.0;22.0;385
19/03/2024;165.0;355.0;0.0;30.0;550
20/03/2024;150.0;317.0;11.0;22.0;500
21/03/2024;129.0;262.0;0.0;19.0;410
22/03/2024;189.0;370.0;0.0;40.0;599
23/03/2024;182.0;308.0;14.0;16.0;520
24/03/2024;217.0;347.0;7.0;28.0;599
25/03/2024;134.0;263.0;13.0;20.0;430
26/03/2024;154.0;300.0;0.0;21.0;475
27/03/2024;270.0;496.0;18.0;36.0;820
28/03/2024;233.0;472.0;2.0;33.0;740
29/03/2024;184.0;387.0;0.0;29.0;600
30/03/2024;232.0;401.0;43.0;14.0;690
31/03/2024;198.0;340.0;35.0;13.0;586
01/04/2024;150.0;285.0;0.0;24.0;459
02/04/2024;164.0;304.0;4.0;33.0;505
03/04/2024;184.0;389.0;7.0;28.0;608
04/04/2024;150.0;296.0;7.0;27.0;480
05/04/2024;215.0;448.0;13.0;36.0;712
06/04/2024;277.0;502.0;12.0;37.0;828
07/04/2024;245.0;378.0;14.0;15.0;652
08/04/2024;159.0;349.0;0.0;38.0;546
09/04/2024;246.0;513.0;0.0;48.0;807
10/04/2024;326.0;675.0;3.0;60.0;1064
11/04/2024;205.0;384.0;0.0;34.0;623
12/04/2024;245.0;449.0;10.0;35.0;739
13/04/2024;175.0;287.0;17.0;16.0;495
14/04/2024;273.0;459.0;27.0;24.0;783
15/04/2024;239.0;451.0;13.0;45.0;748
16/04/2024;195.0;353.0;0.0;40.0;588
17/04/2024;206.0;400.0;9.0;37.0;652
18/04/2024;234.0;505.0;0.0;51.0;790
19/04/2024;258.0;480.0;2.0;38.0;778
20/04/2024;230.0;407.0;11.0;28.0;676
21/04/2024;224.0;406.0;10.0;26.0;666
22/04/2024;249.0;448.0;11.0;31.0;739
23/04/2024;178.0;403.0;0.0;43.0;624
24/04/2024;172.0;364.0;0.0;36.0;572
25/04/2024;238.0;478.0;0.0;36.0;752
26/04/2024;318.0;647.0;16.0;61.0;1042
27/04/2024;287.0;467.0;18.0;30.0;802
28/04/2024;543.0;889.0;29.0;65.0;1526
29/04/2024;219.0;454.0;0.0;41.0;714
30/04/2024;175.0;369.0;3.0;25.0;572
01/05/2024;326.0;574.0;28.0;52.0;980
02/05/2024;217.0;434.0;0.0;34.0;685
03/05/2024;254.0;528.0;0.0;40.0;822
04/05/2024;362.0;623.0;36.0;26.0;1047
05/05/2024;246.0;365.0;19.0;22.0;652
06/05/2024;235.0;425.0;0.0;40.0;700
07/05/2024;267.0;573.0;0.0;48.0;888
08/05/2024;280.0;512.0;0.0;52.0;844
09/05/2024;244.0;548.0;0.0;55.0;847
10/05/2024;292.0;596.0;11.0;55.0;954
11/05/2024;302.0;564.0;15.0;31.0;912
12/05/2024;268.0;473.0;11.0;26.0;778
13/05/2024;206.0;399.0;4.0;44.0;653
14/05/2024;143.0;308.0;0.0;34.0;485
15/05/2024;206.0;451.0;0.0;46.0;703
16/05/2024;191.0;320.0;1.0;33.0;545
17/05/2024;230.0;472.0;2.0;50.0;754
18/05/2024;346.0;587.0;54.0;25.0;1012
19/05/2024;260.0;463.0;7.0;36.0;766
20/05/2024;231.0;495.0;9.0;31.0;766
21/05/2024;192.0;340.0;13.0;37.0;582
22/05/2024;248.0;432.0;14.0;30.0;724
23/05/2024;207.0;440.0;0.0;44.0;691
24/05/2024;297.0;566.0;0.0;37.0;900
25/05/2024;293.0;509.0;38.0;31.0;871
26/05/2024;306.0;522.0;0.0;39.0;867
27/05/2024;244.0;428.0;20.0;33.0;725
28/05/2024;185.0;335.0;0.0;39.0;559
29/05/2024;148.0;305.0;8.0;29.0;490
30/05/2024;271.0;459.0;9.0;48.0;787
31/05/2024;245.0;492.0;29.0;37.0;803
01/06/2024;240.0;400.0;0.0;29.0;669
02/06/2024;368.0;558.0;22.0;24.0;972
03/06/2024;218.0;431.0;0.0;39.0;688
04/06/2024;196.0;371.0;0.0;42.0;609
05/06/2024;320.0;547.0;11.0;48.0;926
06/06/2024;242.0;455.0;12.0;33.0;742
07/06/2024;397.0;709.0;14.0;63.0;1183
08/06/2024;352.0;530.0;14.0;30.0;926
09/06/2024;239.0;384.0;14.0;25.0;662
10/06/2024;249.0;466.0;18.0;41.0;774
11/06/2024;227.0;406.0;13.0;39.0;685
12/06/2024;220.0;389.0;0.0;39.0;648
13/06/2024;259.0;474.0;0.0;50.0;783
14/06/2024;311.0;545.0;1.0;53.0;910
15/06/2024;418.0;623.0;24.0;47.0;1112
16/06/2024;535.0;848.0;0.0;50.0;1433
17/06/2024;241.0;406.0;0.0;34.0;681
18/06/2024;211.0;385.0;0.0;27.0;623
19/06/2024;151.0;243.0;5.0;17.0;416
20/06/2024;224.0;399.0;12.0;30.0;665
21/06/2024;338.0;551.0;19.0;38.0;946
22/06/2024;320.0;496.0;1.0;26.0;843
23/06/2024;170.0;260.0;7.0;11.0;448
24/06/2024;170.0;289.0;0.0;35.0;494
25/06/2024;184.0;347.0;0.0;34.0;565
26/06/2024;185.0;341.0;0.0;33.0;559
27/06/2024;225.0;396.0;23.0;38.0;682
28/06/2024;275.0;495.0;13.0;54.0;837
29/06/2024;257.0;433.0;0.0;33.0;723
30/06/2024;330.0;554.0;10.0;31.0;925
01/07/2024;227.0;411.0;18.0;44.0;700
02/07/2024;257.0;442.0;16.0;33.0;748
03/07/2024;244.0;383.0;13.0;28.0;668
04/07/2024;301.0;537.0;13.0;49.0;900
05/07/2024;370.0;645.0;12.0;46.0;1073
06/07/2024;329.0;485.0;18.0;34.0;866
07/07/2024;368.0;558.0;1.0;42.0;969
08/07/2024;211.0;364.0;13.0;35.0;623
09/07/2024;253.0;408.0;0.0;38.0;699
10/07/2024;204.0;378.0;0.0;34.0;616
11/07/2024;207.0;416.0;0.0;44.0;667
12/07/2024;251.0;425.0;11.0;41.0;728
13/07/2024;288.0;436.0;17.0;37.0;778
14/07/2024;241.0;399.0;12.0;20.0;672
15/07/2024;193.0;356.0;10.0;41.0;600
16/07/2024;197.0;348.0;9.0;34.0;588
17/07/2024;192.0;333.0;14.0;35.0;574
18/07/2024;220.0;395.0;0.0;38.0;653
19/07/2024;248.0;433.0;0.0;49.0;730
20/07/2024;323.0;498.0;0.0;37.0;858
21/07/2024;259.0;431.0;8.0;31.0;729
22/07/2024;275.0;467.0;2.0;47.0;791
23/07/2024;189.0;366.0;0.0;28.0;583
24/07/2024;205.0;371.0;0.0;31.0;607
25/07/2024;235.0;430.0;19.0;46.0;730
26/07/2024;287.0;484.0;0.0;44.0;815
27/07/2024;203.0;340.0;0.0;25.0;568
28/07/2024;297.0;440.0;13.0;35.0;785
29/07/2024;212.0;395.0;0.0;26.0;633
30/07/2024;147.0;276.0;13.0;20.0;456
31/07/2024;206.0;379.0;0.0;39.0;624
01/08/2024;210.0;415.0;0.0;43.0;668
02/08/2024;281.0;494.0;21.0;50.0;846
03/08/2024;232.0;391.0;16.0;23.0;662
04/08/2024;324.0;551.0;18.0;30.0;923
05/08/2024;230.0;433.0;0.0;33.0;696
06/08/2024;229.0;452.0;0.0;48.0;729
07/08/2024;196.0;325.0;10.0;29.0;560
08/08/2024;265.0;421.0;8.0;33.0;727
09/08/2024;282.0;490.0;14.0;51.0;837
10/08/2024;257.0;396.0;3.0;20.0;676
11/08/2024;229.0;372.0;17.0;24.0;642
12/08/2024;218.0;442.0;0.0;41.0;701
13/08/2024;257.0;423.0;0.0;40.0;720
14/08/2024;290.0;506.0;26.0;36.0;858
15/08/2024;231.0;428.0;23.0;39.0;721
16/08/2024;199.0;357.0;4.0;31.0;591
17/08/2024;220.0;359.0;0.0;22.0;601
18/08/2024;237.0;361.0;8.0;17.0;623
19/08/2024;275.0;442.0;0.0;42.0;759
20/08/2024;230.0;430.0;0.0;42.0;702
21/08/2024;274.0;496.0;14.0;41.0;825
22/08/2024;236.0;371.0;11.0;31.0;649
23/08/2024;208.0;370.0;0.0;39.0;617
24/08/2024;272.0;408.0;12.0;36.0;728
25/08/2024;246.0;379.0;0.0;31.0;656
26/08/2024;223.0;418.0;0.0;39.0;680
27/08/2024;220.0;353.0;7.0;43.0;623
28/08/2024;271.0;473.0;17.0;33.0;794
29/08/2024;312.0;602.0;6.0;40.0;960
30/08/2024;256.0;474.0;20.0;43.0;793
31/08/2024;393.0;630.0;29.0;23.0;1075
01/09/2024;270.0;449.0;38.0;17.0;774
02/09/2024;263.0;534.0;10.0;42.0;849
03/09/2024;227.0;444.0;8.0;28.0;707
04/09/2024;279.0;477.0;23.0;33.0;812
05/09/2024;231.0;439.0;7.0;36.0;713
06/09/2024;265.0;499.0;0.0;53.0;817
07/09/2024;330.0;560.0;36.0;26.0;952
08/09/2024;261.0;418.0;19.0;19.0;717
09/09/2024;225.0;392.0;6.0;27.0;650
10/09/2024;260.0;474.0;7.0;34.0;775
11/09/2024;209.0;411.0;16.0;46.0;682
12/09/2024;170.0;330.0;27.0;23.0;550
13/09/2024;308.0;565.0;12.0;44.0;929
14/09/2024;237.0;389.0;3.0;30.0;659
15/09/2024;350.0;526.0;28.0;36.0;940
16/09/2024;235.0;410.0;3.0;46.0;694
17/09/2024;227.0;392.0;2.0;35.0;656
18/09/2024;312.0;592.0;0.0;48.0;952
19/09/2024;172.0;366.0;0.0;37.0;575
20/09/2024;236.0;473.0;11.0;40.0;760
21/09/2024;268.0;476.0;42.0;17.0;803
22/09/2024;216.0;389.0;33.0;16.0;654
23/09/2024;169.0;347.0;0.0;34.0;550
24/09/2024;187.0;331.0;0.0;32.0;550
25/09/2024;179.0;354.0;14.0;35.0;582
26/09/2024;226.0;411.0;9.0;48.0;694
27/09/2024;212.0;424.0;21.0;49.0;706
28/09/2024;361.0;635.0;28.0;50.0;1074
29/09/2024;360.0;630.0;0.0;40.0;1030
30/09/2024;147.0;300.0;10.0;28.0;485
01/10/2024;220.0;396.0;0.0;43.0;659
02/10/2024;225.0;411.0;15.0;32.0;683
03/10/2024;211.0;449.0;0.0;41.0;701
04/10/2024;339.0;655.0;1.0;64.0;1059
05/10/2024;386.0;650.0;0.0;46.0;1082
06/10/2024;336.0;600.0;0.0;34.0;970
07/10/2024;198.0;339.0;14.0;32.0;583
08/10/2024;204.0;408.0;13.0;45.0;670
09/10/2024;207.0;376.0;8.0;28.0;619
10/10/2024;286.0;603.0;0.0;43.0;932
11/10/2024;266.0;543.0;0.0;39.0;848
12/10/2024;297.0;472.0;3.0;38.0;810
13/10/2024;575.0;932.0;42.0;68.0;1617
14/10/2024;216.0;436.0;0.0;39.0;691
15/10/2024;283.0;482.0;1.0;54.0;820
16/10/2024;404.0;842.0;17.0;61.0;1324
17/10/2024;377.0;797.0;0.0;87.0;1261
18/10/2024;469.0;870.0;0.0;96.0;1435
19/10/2024;370.0;639.0;19.0;41.0;1069
20/10/2024;255.0;430.0;15.0;28.0;728
21/10/2024;302.0;633.0;0.0;45.0;980
22/10/2024;186.0;352.0;17.0;26.0;581
23/10/2024;256.0;452.0;19.0;38.0;765
24/10/2024;273.0;569.0;0.0;38.0;880
25/10/2024;273.0;544.0;0.0;42.0;859
26/10/2024;299.0;514.0;36.0;31.0;880
27/10/2024;292.0;514.0;28.0;18.0;852
28/10/2024;243.0;457.0;0.0;44.0;744
29/10/2024;169.0;350.0;7.0;26.0;552
30/10/2024;256.0;462.0;0.0;51.0;769
31/10/2024;322.0;720.0;0.0;78.0;1120
01/11/2024;276.0;587.0;5.0;40.0;908
02/11/2024;260.0;430.0;21.0;17.0;728
03/11/2024;294.0;504.0;0.0;30.0;828
04/11/2024;175.0;342.0;18.0;25.0;560
05/11/2024;224.0;479.0;0.0;46.0;749
06/11/2024;357.0;673.0;33.0;58.0;1121
07/11/2024;226.0;448.0;0.0;33.0;707
08/11/2024;324.0;729.0;0.0;76.0;1129
09/11/2024;284.0;480.0;25.0;38.0;827
10/11/2024;303.0;503.0;29.0;29.0;864
11/11/2024;237.0;421.0;1.0;46.0;705
12/11/2024;176.0;373.0;0.0;32.0;581
13/11/2024;181.0;359.0;15.0;26.0;581
14/11/2024;191.0;425.0;0.0;42.0;658
15/11/2024;310.0;589.0;4.0;53.0;956
16/11/2024;346.0;597.0;16.0;24.0;983
17/11/2024;348.0;516.0;26.0;32.0;922
18/11/2024;192.0;416.0;0.0;36.0;644
19/11/2024;229.0;451.0;24.0;30.0;734
20/11/2024;275.0;468.0;13.0;40.0;796
21/11/2024;226.0;435.0;2.0;36.0;699
22/11/2024;304.0;607.0;4.0;68.0;983
23/11/2024;272.0;462.0;0.0;26.0;760
24/11/2024;270.0;416.0;9.0;22.0;717
25/11/2024;204.0;388.0;10.0;41.0;643
26/11/2024;180.0;360.0;0.0;37.0;577
27/11/2024;276.0;473.0;5.0;42.0;796
28/11/2024;297.0;619.0;6.0;69.0;991
29/11/2024;345.0;705.0;26.0;61.0;1137
30/11/2024;297.0;510.0;39.0;34.0;880
01/12/2024;336.0;568.0;2.0;33.0;939
02/12/2024;200.0;486.0;0.0;41.0;727
03/12/2024;262.0;499.0;0.0;43.0;804
04/12/2024;266.0;551.0;0.0;41.0;858
05/12/2024;260.0;505.0;9.0;39.0;813
06/12/2024;262.0;505.0;0.0;42.0;809
07/12/2024;339.0;637.0;15.0;30.0;1021
08/12/2024;288.0;533.0;0.0;40.0;861
09/12/2024;212.0;429.0;0.0;39.0;680
10/12/2024;205.0;435.0;0.0;37.0;677
11/12/2024;254.0;514.0;29.0;40.0;837
12/12/2024;214.0;424.0;27.0;34.0;699
13/12/2024;290.0;631.0;0.0;62.0;983
14/12/2024;302.0;574.0;0.0;24.0;900
15/12/2024;287.0;522.0;0.0;36.0;845
16/12/2024;238.0;527.0;0.0;55.0;820
17/12/2024;208.0;445.0;0.0;42.0;695
18/12/2024;256.0;570.0;0.0;46.0;872
19/12/2024;248.0;462.0;5.0;51.0;766
20/12/2024;317.0;584.0;0.0;57.0;958
21/12/2024;341.0;620.0;18.0;22.0;1001
22/12/2024;372.0;606.0;19.0;33.0;1030
23/12/2024;167.0;323.0;1.0;32.0;523
24/12/2024;113.0;213.0;0.0;18.0;344
25/12/2024;63.0;156.0;0.0;14.0;233
26/12/2024;125.0;265.0;0.0;25.0;415
27/12/2024;280.0;617.0;0.0;39.0;936
28/12/2024;316.0;553.0;7.0;43.0;919
29/12/2024;358.0;561.0;1.0;33.0;953
30/12/2024;232.0;547.0;0.0;51.0;830
31/12/2024;109.0;256.0;0.0;18.0;383
