id;date;jour_semaine;num_jour_semaine;semaine_annee;mois;mois_label;annee;saison;cash;cb;ticket_resto;uber;ca_total;is_weekend;is_ferie;ca_lag7;ca_lag14;ca_moy_7j;ca_moy_30j
19;19/01/2024;Friday;5;3;1;janvier;2024;hiver;197.0;390.0;0.0;33.0;620;0;0;500.0;739.0;538.0;
20;20/01/2024;Saturday;6;3;1;janvier;2024;hiver;197.0;357.0;17.0;14.0;585;1;0;680.0;828.0;524.0;
21;21/01/2024;Sunday;7;3;1;janvier;2024;hiver;219.0;370.0;8.0;23.0;620;1;0;560.0;666.0;533.0;
22;22/01/2024;Monday;1;4;1;janvier;2024;hiver;110.0;225.0;0.0;20.0;355;0;0;450.0;230.0;519.0;
23;23/01/2024;Tuesday;2;4;1;janvier;2024;hiver;165.0;325.0;14.0;21.0;525;0;0;480.0;320.0;526.0;
24;24/01/2024;Wednesday;3;4;1;janvier;2024;hiver;146.0;287.0;12.0;25.0;470;0;0;425.0;615.0;532.0;
25;25/01/2024;Thursday;4;4;1;janvier;2024;hiver;146.0;301.0;3.0;20.0;470;0;0;550.0;468.0;521.0;
26;26/01/2024;Friday;5;4;1;janvier;2024;hiver;195.0;372.0;16.0;37.0;620;0;0;620.0;500.0;521.0;
27;27/01/2024;Saturday;6;4;1;janvier;2024;hiver;212.0;339.0;1.0;23.0;575;1;0;585.0;680.0;519.0;
28;28/01/2024;Sunday;7;4;1;janvier;2024;hiver;211.0;330.0;15.0;14.0;570;1;0;620.0;560.0;512.0;
29;29/01/2024;Monday;1;5;1;janvier;2024;hiver;216.0;426.0;22.0;44.0;708;0;0;355.0;450.0;563.0;
30;30/01/2024;Tuesday;2;5;1;janvier;2024;hiver;163.0;325.0;13.0;29.0;530;0;0;525.0;480.0;563.0;543.0
31;31/01/2024;Wednesday;3;5;1;janvier;2024;hiver;137.0;242.0;9.0;22.0;410;0;0;470.0;425.0;555.0;538.0
32;01/02/2024;Thursday;4;5;2;fevrier;2024;hiver;179.0;345.0;11.0;33.0;568;0;0;470.0;550.0;569.0;542.0
33;02/02/2024;Friday;5;5;2;fevrier;2024;hiver;254.0;522.0;23.0;36.0;835;0;0;620.0;620.0;599.0;552.0
34;03/02/2024;Saturday;6;5;2;fevrier;2024;hiver;254.0;460.0;0.0;31.0;745;1;0;575.0;585.0;624.0;557.0
35;04/02/2024;Sunday;7;5;2;fevrier;2024;hiver;235.0;353.0;5.0;27.0;620;1;0;570.0;620.0;631.0;553.0
36;05/02/2024;Monday;1;6;2;fevrier;2024;hiver;174.0;340.0;0.0;26.0;540;0;0;708.0;355.0;607.0;544.0
37;06/02/2024;Tuesday;2;6;2;fevrier;2024;hiver;166.0;282.0;6.0;26.0;480;0;0;530.0;525.0;600.0;537.0
38;07/02/2024;Wednesday;3;6;2;fevrier;2024;hiver;208.0;405.0;8.0;38.0;659;0;0;410.0;470.0;635.0;552.0
39;08/02/2024;Thursday;4;6;2;fevrier;2024;hiver;132.0;228.0;1.0;24.0;385;0;0;568.0;470.0;609.0;554.0
40;09/02/2024;Friday;5;6;2;fevrier;2024;hiver;189.0;385.0;0.0;36.0;610;0;0;835.0;620.0;577.0;554.0
41;10/02/2024;Saturday;6;6;2;fevrier;2024;hiver;165.0;269.0;11.0;10.0;455;1;0;745.0;575.0;536.0;553.0
42;11/02/2024;Sunday;7;6;2;fevrier;2024;hiver;208.0;376.0;21.0;22.0;627;1;0;620.0;570.0;537.0;558.0
43;12/02/2024;Monday;1;7;2;fevrier;2024;hiver;169.0;343.0;14.0;24.0;550;0;0;540.0;708.0;538.0;553.0
44;13/02/2024;Tuesday;2;7;2;fevrier;2024;hiver;167.0;335.0;1.0;37.0;540;0;0;480.0;530.0;547.0;553.0
45;14/02/2024;Wednesday;3;7;2;fevrier;2024;hiver;192.0;376.0;2.0;35.0;605;0;0;659.0;410.0;539.0;558.0
46;15/02/2024;Thursday;4;7;2;fevrier;2024;hiver;193.0;323.0;9.0;30.0;555;0;0;385.0;568.0;563.0;560.0
47;16/02/2024;Friday;5;7;2;fevrier;2024;hiver;189.0;394.0;3.0;34.0;620;0;0;610.0;835.0;565.0;567.0
48;17/02/2024;Saturday;6;7;2;fevrier;2024;hiver;253.0;392.0;0.0;25.0;670;1;0;455.0;745.0;595.0;571.0
49;18/02/2024;Sunday;7;7;2;fevrier;2024;hiver;242.0;425.0;17.0;21.0;705;1;0;627.0;620.0;606.0;574.0
50;19/02/2024;Monday;1;8;2;fevrier;2024;hiver;143.0;274.0;9.0;18.0;444;0;0;550.0;540.0;591.0;569.0
51;20/02/2024;Tuesday;2;8;2;fevrier;2024;hiver;167.0;336.0;0.0;23.0;526;0;0;540.0;480.0;589.0;566.0
52;21/02/2024;Wednesday;3;8;2;fevrier;2024;hiver;128.0;259.0;7.0;25.0;419;0;0;605.0;659.0;563.0;568.0
53;22/02/2024;Thursday;4;8;2;fevrier;2024;hiver;153.0;275.0;2.0;28.0;458;0;0;555.0;385.0;549.0;566.0
54;23/02/2024;Friday;5;8;2;fevrier;2024;hiver;140.0;298.0;0.0;32.0;470;0;0;620.0;610.0;527.0;566.0
55;24/02/2024;Saturday;6;8;2;fevrier;2024;hiver;146.0;258.0;20.0;16.0;440;1;0;670.0;455.0;495.0;565.0
56;25/02/2024;Sunday;7;8;2;fevrier;2024;hiver;229.0;355.0;6.0;27.0;617;1;0;705.0;627.0;482.0;565.0
57;26/02/2024;Monday;1;9;2;fevrier;2024;hiver;157.0;273.0;1.0;22.0;453;0;0;444.0;550.0;483.0;560.0
58;27/02/2024;Tuesday;2;9;2;fevrier;2024;hiver;150.0;296.0;1.0;33.0;480;0;0;526.0;540.0;477.0;557.0
59;28/02/2024;Wednesday;3;9;2;fevrier;2024;hiver;136.0;275.0;15.0;24.0;450;0;0;419.0;605.0;481.0;549.0
60;29/02/2024;Thursday;4;9;2;fevrier;2024;hiver;161.0;364.0;0.0;35.0;560;0;0;458.0;555.0;496.0;550.0
61;01/03/2024;Friday;5;9;3;mars;2024;printemps;198.0;423.0;0.0;37.0;658;0;0;470.0;620.0;523.0;558.0
62;02/03/2024;Saturday;6;9;3;mars;2024;printemps;204.0;317.0;11.0;22.0;554;1;0;440.0;670.0;539.0;558.0
63;03/03/2024;Sunday;7;9;3;mars;2024;printemps;181.0;323.0;14.0;23.0;541;1;0;617.0;705.0;528.0;548.0
64;04/03/2024;Monday;1;10;3;mars;2024;printemps;132.0;228.0;3.0;18.0;381;0;0;453.0;444.0;518.0;536.0
65;05/03/2024;Tuesday;2;10;3;mars;2024;printemps;205.0;353.0;15.0;27.0;600;0;0;480.0;526.0;535.0;535.0
66;06/03/2024;Wednesday;3;10;3;mars;2024;printemps;224.0;402.0;8.0;45.0;679;0;0;450.0;419.0;568.0;540.0
67;07/03/2024;Thursday;4;10;3;mars;2024;printemps;148.0;279.0;13.0;30.0;470;0;0;560.0;458.0;555.0;539.0
68;08/03/2024;Friday;5;10;3;mars;2024;printemps;312.0;658.0;0.0;45.0;1015;0;0;658.0;470.0;606.0;551.0
69;09/03/2024;Saturday;6;10;3;mars;2024;printemps;239.0;406.0;38.0;17.0;700;1;0;554.0;440.0;627.0;562.0
70;10/03/2024;Sunday;7;10;3;mars;2024;printemps;218.0;401.0;8.0;23.0;650;1;0;541.0;617.0;642.0;563.0
71;11/03/2024;Monday;1;11;3;mars;2024;printemps;137.0;264.0;0.0;19.0;420;0;0;381.0;453.0;648.0;562.0
72;12/03/2024;Tuesday;2;11;3;mars;2024;printemps;95.0;200.0;0.0;20.0;315;0;0;600.0;480.0;607.0;552.0
73;13/03/2024;Wednesday;3;11;3;mars;2024;printemps;131.0;261.0;7.0;29.0;428;0;0;679.0;450.0;571.0;547.0
74;14/03/2024;Thursday;4;11;3;mars;2024;printemps;106.0;205.0;8.0;18.0;337;0;0;470.0;560.0;552.0;541.0
75;15/03/2024;Friday;5;11;3;mars;2024;printemps;119.0;231.0;0.0;18.0;368;0;0;1015.0;658.0;460.0;533.0
76;16/03/2024;Saturday;6;11;3;mars;2024;printemps;180.0;334.0;9.0;20.0;543;1;0;700.0;554.0;437.0;532.0
77;17/03/2024;Sunday;7;11;3;mars;2024;printemps;201.0;369.0;15.0;15.0;600;1;0;650.0;541.0;430.0;532.0
78;18/03/2024;Monday;1;12;3;mars;2024;printemps;128.0;235.0;0.0;22.0;385;0;0;420.0;381.0;425.0;522.0
79;19/03/2024;Tuesday;2;12;3;mars;2024;printemps;165.0;355.0;0.0;30.0;550;0;0;315.0;600.0;459.0;517.0
80;20/03/2024;Wednesday;3;12;3;mars;2024;printemps;150.0;317.0;11.0;22.0;500;0;0;428.0;679.0;469.0;519.0
81;21/03/2024;Thursday;4;12;3;mars;2024;printemps;129.0;262.0;0.0;19.0;410;0;0;337.0;470.0;479.0;515.0
82;22/03/2024;Friday;5;12;3;mars;2024;printemps;189.0;370.0;0.0;40.0;599;0;0;368.0;1015.0;512.0;521.0
83;23/03/2024;Saturday;6;12;3;mars;2024;printemps;182.0;308.0;14.0;16.0;520;1;0;543.0;700.0;509.0;523.0
84;24/03/2024;Sunday;7;12;3;mars;2024;printemps;217.0;347.0;7.0;28.0;599;1;0;600.0;650.0;509.0;527.0
85;25/03/2024;Monday;1;13;3;mars;2024;printemps;134.0;263.0;13.0;20.0;430;0;0;385.0;420.0;515.0;527.0
86;26/03/2024;Tuesday;2;13;3;mars;2024;printemps;154.0;300.0;0.0;21.0;475;0;0;550.0;315.0;505.0;522.0
87;27/03/2024;Wednesday;3;13;3;mars;2024;printemps;270.0;496.0;18.0;36.0;820;0;0;500.0;428.0;550.0;535.0
88;28/03/2024;Thursday;4;13;3;mars;2024;printemps;233.0;472.0;2.0;33.0;740;0;0;410.0;337.0;598.0;543.0
89;29/03/2024;Friday;5;13;3;mars;2024;printemps;184.0;387.0;0.0;29.0;600;0;0;599.0;368.0;598.0;548.0
90;30/03/2024;Saturday;6;13;3;mars;2024;printemps;232.0;401.0;43.0;14.0;690;1;0;520.0;543.0;622.0;553.0
91;31/03/2024;Sunday;7;13;3;mars;2024;printemps;198.0;340.0;35.0;13.0;586;1;0;599.0;600.0;620.0;550.0
92;01/04/2024;Monday;1;14;4;avril;2024;printemps;150.0;285.0;0.0;24.0;459;0;0;430.0;385.0;624.0;547.0
93;02/04/2024;Tuesday;2;14;4;avril;2024;printemps;164.0;304.0;4.0;33.0;505;0;0;475.0;550.0;629.0;546.0
94;03/04/2024;Wednesday;3;14;4;avril;2024;printemps;184.0;389.0;7.0;28.0;608;0;0;820.0;500.0;598.0;553.0
95;04/04/2024;Thursday;4;14;4;avril;2024;printemps;150.0;296.0;7.0;27.0;480;0;0;740.0;410.0;561.0;549.0
96;05/04/2024;Friday;5;14;4;avril;2024;printemps;215.0;448.0;13.0;36.0;712;0;0;600.0;599.0;577.0;550.0
97;06/04/2024;Saturday;6;14;4;avril;2024;printemps;277.0;502.0;12.0;37.0;828;1;0;690.0;520.0;597.0;562.0
98;07/04/2024;Sunday;7;14;4;avril;2024;printemps;245.0;378.0;14.0;15.0;652;1;0;586.0;599.0;606.0;550.0
99;08/04/2024;Monday;1;15;4;avril;2024;printemps;159.0;349.0;0.0;38.0;546;0;0;459.0;430.0;619.0;545.0
100;09/04/2024;Tuesday;2;15;4;avril;2024;printemps;246.0;513.0;0.0;48.0;807;0;0;505.0;475.0;662.0;550.0
101;10/04/2024;Wednesday;3;15;4;avril;2024;printemps;326.0;675.0;3.0;60.0;1064;0;0;608.0;820.0;727.0;572.0
102;11/04/2024;Thursday;4;15;4;avril;2024;printemps;205.0;384.0;0.0;34.0;623;0;0;480.0;740.0;747.0;582.0
103;12/04/2024;Friday;5;15;4;avril;2024;printemps;245.0;449.0;10.0;35.0;739;0;0;712.0;600.0;751.0;592.0
104;13/04/2024;Saturday;6;15;4;avril;2024;printemps;175.0;287.0;17.0;16.0;495;1;0;828.0;690.0;704.0;598.0
105;14/04/2024;Sunday;7;15;4;avril;2024;printemps;273.0;459.0;27.0;24.0;783;1;0;652.0;586.0;722.0;612.0
106;15/04/2024;Monday;1;16;4;avril;2024;printemps;239.0;451.0;13.0;45.0;748;0;0;546.0;459.0;751.0;618.0
107;16/04/2024;Tuesday;2;16;4;avril;2024;printemps;195.0;353.0;0.0;40.0;588;0;0;807.0;505.0;720.0;618.0
108;17/04/2024;Wednesday;3;16;4;avril;2024;printemps;206.0;400.0;9.0;37.0;652;0;0;1064.0;608.0;661.0;627.0
109;18/04/2024;Thursday;4;16;4;avril;2024;printemps;234.0;505.0;0.0;51.0;790;0;0;623.0;480.0;685.0;635.0
110;19/04/2024;Friday;5;16;4;avril;2024;printemps;258.0;480.0;2.0;38.0;778;0;0;739.0;712.0;691.0;644.0
111;20/04/2024;Saturday;6;16;4;avril;2024;printemps;230.0;407.0;11.0;28.0;676;1;0;495.0;828.0;716.0;653.0
112;21/04/2024;Sunday;7;16;4;avril;2024;printemps;224.0;406.0;10.0;26.0;666;1;0;783.0;652.0;700.0;655.0
113;22/04/2024;Monday;1;17;4;avril;2024;printemps;249.0;448.0;11.0;31.0;739;0;0;748.0;546.0;698.0;663.0
114;23/04/2024;Tuesday;2;17;4;avril;2024;printemps;178.0;403.0;0.0;43.0;624;0;0;588.0;807.0;704.0;663.0
115;24/04/2024;Wednesday;3;17;4;avril;2024;printemps;172.0;364.0;0.0;36.0;572;0;0;652.0;1064.0;692.0;668.0
116;25/04/2024;Thursday;4;17;4;avril;2024;printemps;238.0;478.0;0.0;36.0;752;0;0;790.0;623.0;687.0;677.0
117;26/04/2024;Friday;5;17;4;avril;2024;printemps;318.0;647.0;16.0;61.0;1042;0;0;778.0;739.0;724.0;685.0
118;27/04/2024;Saturday;6;17;4;avril;2024;printemps;287.0;467.0;18.0;30.0;802;1;0;676.0;495.0;742.0;687.0
119;28/04/2024;Sunday;7;17;4;avril;2024;printemps;543.0;889.0;29.0;65.0;1526;1;0;666.0;783.0;865.0;718.0
120;29/04/2024;Monday;1;18;4;avril;2024;printemps;219.0;454.0;0.0;41.0;714;0;0;739.0;748.0;862.0;719.0
121;30/04/2024;Tuesday;2;18;4;avril;2024;printemps;175.0;369.0;3.0;25.0;572;0;0;624.0;588.0;854.0;718.0
122;01/05/2024;Wednesday;3;18;5;mai;2024;printemps;326.0;574.0;28.0;52.0;980;0;0;572.0;652.0;913.0;735.0
123;02/05/2024;Thursday;4;18;5;mai;2024;printemps;217.0;434.0;0.0;34.0;685;0;0;752.0;790.0;903.0;741.0
124;03/05/2024;Friday;5;18;5;mai;2024;printemps;254.0;528.0;0.0;40.0;822;0;0;1042.0;778.0;872.0;749.0
125;04/05/2024;Saturday;6;18;5;mai;2024;printemps;362.0;623.0;36.0;26.0;1047;1;0;802.0;676.0;907.0;767.0
126;05/05/2024;Sunday;7;18;5;mai;2024;printemps;246.0;365.0;19.0;22.0;652;1;0;1526.0;666.0;782.0;765.0
127;06/05/2024;Monday;1;19;5;mai;2024;printemps;235.0;425.0;0.0;40.0;700;0;0;714.0;739.0;780.0;761.0
128;07/05/2024;Tuesday;2;19;5;mai;2024;printemps;267.0;573.0;0.0;48.0;888;0;0;572.0;624.0;825.0;769.0
129;08/05/2024;Wednesday;3;19;5;mai;2024;printemps;280.0;512.0;0.0;52.0;844;0;0;980.0;572.0;805.0;779.0
130;09/05/2024;Thursday;4;19;5;mai;2024;printemps;244.0;548.0;0.0;55.0;847;0;0;685.0;752.0;829.0;780.0
131;10/05/2024;Friday;5;19;5;mai;2024;printemps;292.0;596.0;11.0;55.0;954;0;0;822.0;1042.0;847.0;777.0
132;11/05/2024;Saturday;6;19;5;mai;2024;printemps;302.0;564.0;15.0;31.0;912;1;0;1047.0;802.0;828.0;786.0
133;12/05/2024;Sunday;7;19;5;mai;2024;printemps;268.0;473.0;11.0;26.0;778;1;0;652.0;1526.0;846.0;788.0
134;13/05/2024;Monday;1;20;5;mai;2024;printemps;206.0;399.0;4.0;44.0;653;0;0;700.0;714.0;839.0;793.0
135;14/05/2024;Tuesday;2;20;5;mai;2024;printemps;143.0;308.0;0.0;34.0;485;0;0;888.0;572.0;782.0;783.0
136;15/05/2024;Wednesday;3;20;5;mai;2024;printemps;206.0;451.0;0.0;46.0;703;0;0;844.0;980.0;762.0;781.0
137;16/05/2024;Thursday;4;20;5;mai;2024;printemps;191.0;320.0;1.0;33.0;545;0;0;847.0;685.0;719.0;780.0
138;17/05/2024;Friday;5;20;5;mai;2024;printemps;230.0;472.0;2.0;50.0;754;0;0;954.0;822.0;690.0;783.0
139;18/05/2024;Saturday;6;20;5;mai;2024;printemps;346.0;587.0;54.0;25.0;1012;1;0;912.0;1047.0;704.0;791.0
140;19/05/2024;Sunday;7;20;5;mai;2024;printemps;260.0;463.0;7.0;36.0;766;1;0;778.0;652.0;703.0;790.0
141;20/05/2024;Monday;1;21;5;mai;2024;printemps;231.0;495.0;9.0;31.0;766;0;0;653.0;700.0;719.0;793.0
142;21/05/2024;Tuesday;2;21;5;mai;2024;printemps;192.0;340.0;13.0;37.0;582;0;0;485.0;888.0;733.0;791.0
143;22/05/2024;Wednesday;3;21;5;mai;2024;printemps;248.0;432.0;14.0;30.0;724;0;0;703.0;844.0;736.0;790.0
144;23/05/2024;Thursday;4;21;5;mai;2024;printemps;207.0;440.0;0.0;44.0;691;0;0;545.0;847.0;756.0;792.0
145;24/05/2024;Friday;5;21;5;mai;2024;printemps;297.0;566.0;0.0;37.0;900;0;0;754.0;954.0;777.0;803.0
146;25/05/2024;Saturday;6;21;5;mai;2024;printemps;293.0;509.0;38.0;31.0;871;1;0;1012.0;912.0;757.0;807.0
147;26/05/2024;Sunday;7;21;5;mai;2024;printemps;306.0;522.0;0.0;39.0;867;1;0;766.0;778.0;772.0;801.0
148;27/05/2024;Monday;1;22;5;mai;2024;printemps;244.0;428.0;20.0;33.0;725;0;0;766.0;653.0;766.0;799.0
149;28/05/2024;Tuesday;2;22;5;mai;2024;printemps;185.0;335.0;0.0;39.0;559;0;0;582.0;485.0;762.0;767.0
150;29/05/2024;Wednesday;3;22;5;mai;2024;printemps;148.0;305.0;8.0;29.0;490;0;0;724.0;703.0;729.0;759.0
151;30/05/2024;Thursday;4;22;5;mai;2024;printemps;271.0;459.0;9.0;48.0;787;0;0;691.0;545.0;743.0;766.0
152;31/05/2024;Friday;5;22;5;mai;2024;printemps;245.0;492.0;29.0;37.0;803;0;0;900.0;754.0;729.0;760.0
153;01/06/2024;Saturday;6;22;6;juin;2024;ete;240.0;400.0;0.0;29.0;669;1;0;871.0;1012.0;700.0;760.0
154;02/06/2024;Sunday;7;22;6;juin;2024;ete;368.0;558.0;22.0;24.0;972;1;0;867.0;766.0;715.0;765.0
155;03/06/2024;Monday;1;23;6;juin;2024;ete;218.0;431.0;0.0;39.0;688;0;0;725.0;766.0;710.0;753.0
156;04/06/2024;Tuesday;2;23;6;juin;2024;ete;196.0;371.0;0.0;42.0;609;0;0;559.0;582.0;717.0;751.0
157;05/06/2024;Wednesday;3;23;6;juin;2024;ete;320.0;547.0;11.0;48.0;926;0;0;490.0;724.0;779.0;759.0
158;06/06/2024;Thursday;4;23;6;juin;2024;ete;242.0;455.0;12.0;33.0;742;0;0;787.0;691.0;773.0;754.0
159;07/06/2024;Friday;5;23;6;juin;2024;ete;397.0;709.0;14.0;63.0;1183;0;0;803.0;900.0;827.0;765.0
160;08/06/2024;Saturday;6;23;6;juin;2024;ete;352.0;530.0;14.0;30.0;926;1;0;669.0;871.0;864.0;768.0
161;09/06/2024;Sunday;7;23;6;juin;2024;ete;239.0;384.0;14.0;25.0;662;1;0;972.0;867.0;819.0;758.0
162;10/06/2024;Monday;1;24;6;juin;2024;ete;249.0;466.0;18.0;41.0;774;0;0;688.0;725.0;832.0;754.0
163;11/06/2024;Tuesday;2;24;6;juin;2024;ete;227.0;406.0;13.0;39.0;685;0;0;609.0;559.0;843.0;751.0
164;12/06/2024;Wednesday;3;24;6;juin;2024;ete;220.0;389.0;0.0;39.0;648;0;0;926.0;490.0;803.0;750.0
165;13/06/2024;Thursday;4;24;6;juin;2024;ete;259.0;474.0;0.0;50.0;783;0;0;742.0;787.0;809.0;760.0
166;14/06/2024;Friday;5;24;6;juin;2024;ete;311.0;545.0;1.0;53.0;910;0;0;1183.0;803.0;770.0;767.0
167;15/06/2024;Saturday;6;24;6;juin;2024;ete;418.0;623.0;24.0;47.0;1112;1;0;926.0;669.0;796.0;786.0
168;16/06/2024;Sunday;7;24;6;juin;2024;ete;535.0;848.0;0.0;50.0;1433;1;0;662.0;972.0;906.0;809.0
169;17/06/2024;Monday;1;25;6;juin;2024;ete;241.0;406.0;0.0;34.0;681;0;0;774.0;688.0;893.0;798.0
170;18/06/2024;Tuesday;2;25;6;juin;2024;ete;211.0;385.0;0.0;27.0;623;0;0;685.0;609.0;884.0;793.0
171;19/06/2024;Wednesday;3;25;6;juin;2024;ete;151.0;243.0;5.0;17.0;416;0;0;648.0;926.0;851.0;781.0
172;20/06/2024;Thursday;4;25;6;juin;2024;ete;224.0;399.0;12.0;30.0;665;0;0;783.0;742.0;834.0;784.0
173;21/06/2024;Friday;5;25;6;juin;2024;ete;338.0;551.0;19.0;38.0;946;0;0;910.0;1183.0;839.0;792.0
174;22/06/2024;Saturday;6;25;6;juin;2024;ete;320.0;496.0;1.0;26.0;843;1;0;1112.0;926.0;801.0;797.0
175;23/06/2024;Sunday;7;25;6;juin;2024;ete;170.0;260.0;7.0;11.0;448;1;0;1433.0;662.0;660.0;782.0
176;24/06/2024;Monday;1;26;6;juin;2024;ete;170.0;289.0;0.0;35.0;494;0;0;681.0;774.0;634.0;769.0
177;25/06/2024;Tuesday;2;26;6;juin;2024;ete;184.0;347.0;0.0;34.0;565;0;0;623.0;685.0;625.0;759.0
178;26/06/2024;Wednesday;3;26;6;juin;2024;ete;185.0;341.0;0.0;33.0;559;0;0;416.0;648.0;646.0;753.0
179;27/06/2024;Thursday;4;26;6;juin;2024;ete;225.0;396.0;23.0;38.0;682;0;0;665.0;783.0;648.0;757.0
180;28/06/2024;Friday;5;26;6;juin;2024;ete;275.0;495.0;13.0;54.0;837;0;0;946.0;910.0;633.0;769.0
181;29/06/2024;Saturday;6;26;6;juin;2024;ete;257.0;433.0;0.0;33.0;723;1;0;843.0;1112.0;615.0;767.0
182;30/06/2024;Sunday;7;26;6;juin;2024;ete;330.0;554.0;10.0;31.0;925;1;0;448.0;1433.0;684.0;771.0
183;01/07/2024;Monday;1;27;7;juillet;2024;ete;227.0;411.0;18.0;44.0;700;0;0;494.0;681.0;713.0;772.0
184;02/07/2024;Tuesday;2;27;7;juillet;2024;ete;257.0;442.0;16.0;33.0;748;0;0;565.0;623.0;739.0;765.0
185;03/07/2024;Wednesday;3;27;7;juillet;2024;ete;244.0;383.0;13.0;28.0;668;0;0;559.0;416.0;755.0;764.0
186;04/07/2024;Thursday;4;27;7;juillet;2024;ete;301.0;537.0;13.0;49.0;900;0;0;682.0;665.0;786.0;774.0
187;05/07/2024;Friday;5;27;7;juillet;2024;ete;370.0;645.0;12.0;46.0;1073;0;0;837.0;946.0;820.0;778.0
188;06/07/2024;Saturday;6;27;7;juillet;2024;ete;329.0;485.0;18.0;34.0;866;1;0;723.0;843.0;840.0;783.0
189;07/07/2024;Sunday;7;27;7;juillet;2024;ete;368.0;558.0;1.0;42.0;969;1;0;925.0;448.0;846.0;775.0
190;08/07/2024;Monday;1;28;7;juillet;2024;ete;211.0;364.0;13.0;35.0;623;0;0;700.0;494.0;835.0;765.0
191;09/07/2024;Tuesday;2;28;7;juillet;2024;ete;253.0;408.0;0.0;38.0;699;0;0;748.0;565.0;828.0;767.0
192;10/07/2024;Wednesday;3;28;7;juillet;2024;ete;204.0;378.0;0.0;34.0;616;0;0;668.0;559.0;821.0;761.0
193;11/07/2024;Thursday;4;28;7;juillet;2024;ete;207.0;416.0;0.0;44.0;667;0;0;900.0;682.0;788.0;761.0
194;12/07/2024;Friday;5;28;7;juillet;2024;ete;251.0;425.0;11.0;41.0;728;0;0;1073.0;837.0;738.0;763.0
195;13/07/2024;Saturday;6;28;7;juillet;2024;ete;288.0;436.0;17.0;37.0;778;1;0;866.0;723.0;726.0;763.0
196;14/07/2024;Sunday;7;28;7;juillet;2024;ete;241.0;399.0;12.0;20.0;672;1;0;969.0;925.0;683.0;755.0
197;15/07/2024;Monday;1;29;7;juillet;2024;ete;193.0;356.0;10.0;41.0;600;0;0;623.0;700.0;680.0;738.0
198;16/07/2024;Tuesday;2;29;7;juillet;2024;ete;197.0;348.0;9.0;34.0;588;0;0;699.0;748.0;664.0;710.0
199;17/07/2024;Wednesday;3;29;7;juillet;2024;ete;192.0;333.0;14.0;35.0;574;0;0;616.0;668.0;658.0;706.0
200;18/07/2024;Thursday;4;29;7;juillet;2024;ete;220.0;395.0;0.0;38.0;653;0;0;667.0;900.0;656.0;708.0
201;19/07/2024;Friday;5;29;7;juillet;2024;ete;248.0;433.0;0.0;49.0;730;0;0;728.0;1073.0;656.0;718.0
202;20/07/2024;Saturday;6;29;7;juillet;2024;ete;323.0;498.0;0.0;37.0;858;1;0;778.0;866.0;668.0;724.0
203;21/07/2024;Sunday;7;29;7;juillet;2024;ete;259.0;431.0;8.0;31.0;729;1;0;672.0;969.0;676.0;717.0
